LibSize,V1:V5,V5:V1
50,0.6705795031562746,0.8247775066548919
100,0.7620005998438983,0.8523756794156762
150,0.8043256021002435,0.8685759935708027
200,0.8287656944785563,0.8798616578929387
250,0.8442654540627343,0.8875024232314463
300,0.8481709784659797,0.8942961641100575
350,0.8553027766446812,0.8996756380852581
400,0.8623121811079478,0.9046316019985586
450,0.8681482745690074,0.9093752465531256
500,0.8706859090467919,0.9111765676471272
550,0.874223876811103,0.914494159323178
600,0.875502655258284,0.9168160367380067
650,0.8805397844862591,0.9189372716781768
700,0.8817547805081822,0.9213775276776816
750,0.8843542332992816,0.9231291981776854
800,0.8859846890659939,0.9242009453304801
850,0.8867115450295345,0.9254696265147625
900,0.888952429920704,0.9275191333253505
950,0.8900450737691222,0.9286836212046143
1000,0.8909397268959495,0.9293513715122285
